dsdbestDenmark,dsdbestSweden,dsdMPSweden,dsdoffshoreSweden,dsdbestGlasgow,dsdMPGlasgow,dsdoffshoreGlasgow,,,,
"6,90095766000338","10,1737549841504","6,84264906883591","10,2052179389169","5,49377391527783","3,68302508444412","5,32458376619767",,,,
"6,84745730871109","10,0948819505179","6,78960076061713","10,1261009856409","5,45118289402128","3,65447207114596","5,28330440817062",,,,
"6,7945136835803","10,0168296718936","6,73710447458691","10,0478073256076","5,40903507613079","3,62621618130791","5,24245460430515",,,,
"6,74211952195194","9,93958744128313","6,68515300945091","9,97032621871094","5,36732467988608","3,59825353886568","5,20202875093891",,,,
"6,69026767497664","9,86314471947658","6,63373927676285","9,89364709314765","5,32604601416945","3,57058032849494","5,16202133222191",,,,
"6,63895110553399","9,78749113198067","6,58285629886144","9,81775954234075","5,28519347680938","3,54319279450089","5,12242691851105",,,,
"6,58816288619545","9,71261646601564","6,53249720685035","9,74265332192683","5,24476155295878","3,51608723973097","5,08324016479839",,,,
"6,53789619722948","9,63851066757431","6,48265523862035","9,66831834680611","5,20474481350692","3,48926002451031","5,04445580917193",,,,
"6,48814432464821","9,56516383854245","6,43332373691239","9,5947446882538","5,16513791352443","3,46270756559915","5,00606867130851",,,,
"6,4389006582946","9,49256623387859","6,38449614742092","9,52192257109135","5,12593559074043","3,43642633517203","4,9680736509979",,,,
"6,390158689969","9,42070825885233","6,33616601693637","9,44984237091602","5,08713266405122","3,4104128598179","4,93046572669731",,,,
"6,34191201159445","9,34958046633931","6,28832699152581","9,37849461138768","5,04872403205959","3,38466371956097","4,89323995411577",,,,
"6,29415431341958","9,27917355417202","6,24097281475119","9,30786996157129","5,01070467164423","3,35917554690158","4,85639146482759",,,,
"6,24687938225844","9,20947836254468","6,1940973259239","9,23795923333381","4,97306963655846","3,33394502587679","4,81991546491417",,,,
"6,20008109976623","9,14048587147141","6,14769445839518","9,16875337879453","4,93581405605757","3,30896889114021","4,78380723363373",,,,
"6,15375344075028","9,07218719829606","6,10175823788131","9,10024348782712","4,89893313355419","3,28424392706048","4,74806212211799",,,,
"6,10789047151534","9,00457359525278","6,05628278082288","9,03242078561274","4,862422145301","3,25976696683822","4,71267555209549",,,,
"6,06248634824242","8,93763644707608","6,01126229277737","8,96527663024266","4,82627643910018","3,23553489164081","4,67764301464078",,,,
"6,0175353154005","8,87136726865917","5,96669106684423","8,89880251036941","4,79049143303891","3,21154462975469","4,64296006894889",,,,
"5,97303170419023","8,80575770275975","5,92256348212179","8,83299004290539","4,75506261425052","3,18779315575483","4,60862234113457",,,,
"5,92896993101906","8,74079951775177","5,8788740021952","8,76783097076775","4,71998553770045","3,16427748969082","4,5746255230557",,,,
"5,88534449600685","8,67648460542249","5,83561717365473","8,70331716066862","4,6852558249967","3,1409946962894","4,54096537116032",,,,
